H,T,b_0,b_1,theta_00,theta_01,theta_10,theta_11,sigma_00,sigma_01,sigma_10,sigma_11
0.5 rmse,100,0.29509841408134674,1.0379583726218016,0.5,0.09999999999999916,0.09999999999999916,0.3000000000000036,0.08105091405808114,0.0,0.0,1.0960740183932107
0.5 mae,100,0.23959490768208883,0.8313411240503705,0.5,0.09999999999999859,0.09999999999999859,0.30000000000000565,0.06846378487163647,0.0,0.0,1.0870047074169022
0.5 rmse,1075,0.09284031387982111,0.3187959952793145,0.16146724415264802,0.04982326193140774,0.04982326193140774,0.10912570405715845,0.06700110168345542,0.0,0.0,1.0944654089241963
0.5 mae,1075,0.0738536281978877,0.25342253748661137,0.15883047157322552,0.04774147197680723,0.04774147197680723,0.10594045306984548,0.06537589355480189,0.0,0.0,1.0935837816334442
0.5 rmse,2050,0.06667953359560938,0.23545190594227924,0.06383296788876437,0.021613212850219377,0.021613212850219377,0.053565515048062895,0.06686510834811005,0.0,0.0,1.0926350492816017
0.5 mae,2050,0.05303216229921385,0.1843674809151399,0.06039229711082195,0.019901595862713336,0.019901595862713336,0.05035890095324023,0.06601770281057893,0.0,0.0,1.0921525301440822
0.5 rmse,3025,0.05598610911447309,0.19355025176479057,0.031679198998668584,0.011817392116857135,0.011817392116857135,0.03257831985932812,0.06689183445943069,0.0,0.0,1.0923757796574372
0.5 mae,3025,0.04529464479973949,0.15449459845903793,0.027218956038237457,0.010182030421732068,0.010182030421732068,0.029638201213793302,0.0663025594565599,0.0,0.0,1.0920572441173406
0.5 rmse,4000,0.048305270266834434,0.1699016119438824,0.01867981507924089,0.007598430825727431,0.007598430825727431,0.022065989905727404,0.06678536081585261,0.0,0.0,1.0917814242479729
0.5 mae,4000,0.03861278633857526,0.13463826804823936,0.015004807007336085,0.006221092317766864,0.006221092317766864,0.01924612512404249,0.06632314691793133,0.0,0.0,1.0915425608112417
0.6_0.8 rmse,100,0.8605398509966476,4.114744353327063,0.5,0.09999999999999916,0.09999999999999916,0.3000000000000036,0.05864310160265778,0.0,0.0,0.6613670149501236
0.6_0.8 mae,100,0.6792342786420397,3.290748982364575,0.5,0.09999999999999859,0.09999999999999859,0.30000000000000565,0.047409997726748164,0.0,0.0,0.6476778650076421
0.6_0.8 rmse,1075,0.5433873729525343,2.6376502746001513,0.1679059602528988,0.036426085551549546,0.036426085551549546,0.1451198932347391,0.039191921158747395,0.0,0.0,0.6491566881232408
0.6_0.8 mae,1075,0.4316684977295573,2.097408168935856,0.16627577743011684,0.03559151531575444,0.03559151531575444,0.14447675027113294,0.03653286910624833,0.0,0.0,0.6478721319081986
0.6_0.8 rmse,2050,0.4749214240972703,2.317834151636772,0.08015014116464388,0.01784793274107468,0.01784793274107468,0.09382496171806522,0.03766159528644232,0.0,0.0,0.6479939107396635
0.6_0.8 mae,2050,0.37608490015690194,1.8380763099635336,0.07768210502136234,0.016895548321832984,0.016895548321832984,0.09281971778116152,0.036154122078493375,0.0,0.0,0.6473260319053555
0.6_0.8 rmse,3025,0.432702191671703,2.1363588315698205,0.04676529581263028,0.010775634840328065,0.010775634840328065,0.07231711634643834,0.037106557996104725,0.0,0.0,0.6481324701576314
0.6_0.8 mae,3025,0.3434883986383379,1.7114412813703257,0.043398324878534116,0.009658013656305092,0.009658013656305092,0.0711346274402275,0.036097020754617196,0.0,0.0,0.647660567250142
0.6_0.8 rmse,4000,0.4129689841327787,2.0251297305037053,0.030858069939156338,0.007422370853716232,0.007422370853716232,0.06055676987652361,0.03685513292519351,0.0,0.0,0.64732113789798
0.6_0.8 mae,4000,0.3273624414969707,1.6067466866513331,0.02699902271216348,0.006334793223958626,0.006334793223958626,0.05917956820103038,0.03611172326750527,0.0,0.0,0.6469776870415787
0.6 rmse,100,0.45298566466920664,1.6582880934231259,0.5,0.09999999999999916,0.09999999999999916,0.3000000000000036,0.05956851874874354,0.0,0.0,1.0280804158842598
0.6 mae,100,0.35432130265981404,1.3203823838089062,0.5,0.09999999999999859,0.09999999999999859,0.30000000000000565,0.0481426918298624,0.0,0.0,1.0186415378184872
0.6 rmse,1075,0.1862794221942837,0.6582231770626958,0.17076888896202266,0.042908902626745585,0.042908902626745585,0.11780946369711356,0.04050308068349277,0.0,0.0,1.0225628896572772
0.6 mae,1075,0.14708648567224886,0.5242303225413281,0.1691650954455334,0.04145062470767783,0.04145062470767783,0.11627157588250697,0.037911638969986054,0.0,0.0,1.021701325163324
0.6 rmse,2050,0.143962004891935,0.5076463372774708,0.0800826957958331,0.020102024248387137,0.020102024248387137,0.06328775832064581,0.03902440569124251,0.0,0.0,1.0214954910593717
0.6 mae,2050,0.11384987891986341,0.4022884661856268,0.0776498868930911,0.018693708393037686,0.018693708393037686,0.06154929821699652,0.03755969565606542,0.0,0.0,1.0210486018025509
0.6 rmse,3025,0.11935093865090962,0.43297553211087025,0.04633083726274211,0.012086934917737843,0.012086934917737843,0.04213176530785514,0.03847605723730543,0.0,0.0,1.021500455242894
0.6 mae,3025,0.09380101301295915,0.3452873928897412,0.04296459426067091,0.010582211547884761,0.010582211547884761,0.04025711243929415,0.03749725924304596,0.0,0.0,1.0211798592132422
0.6 rmse,4000,0.11002590733285926,0.3874753390820096,0.03033987529369711,0.008321369601154028,0.008321369601154028,0.03079031823885599,0.03823420915258138,0.0,0.0,1.0209829455662927
0.6 mae,4000,0.08703256803555966,0.3080376663194677,0.02647934074325693,0.00699978892994901,0.00699978892994901,0.02868811596614512,0.03751706323592673,0.0,0.0,1.0207422514535682
0.8 rmse,100,1.1334348722200898,4.114953875954367,0.5,0.09999999999999916,0.09999999999999916,0.3000000000000036,0.11223287232839835,0.0,0.0,0.6613107367777475
0.8 mae,100,0.8829933093929027,3.2809294077682254,0.5,0.09999999999999859,0.09999999999999859,0.30000000000000565,0.10337646388461091,0.0,0.0,0.6476289888254534
0.8 rmse,1075,0.7431349880213599,2.641736057086686,0.21850475788350468,0.04102953294041522,0.04102953294041522,0.14550764935681165,0.10332806913108566,0.0,0.0,0.6490843205090456
0.8 mae,1075,0.5802012584284882,2.0982230610769825,0.21743199398557167,0.04014622241199258,0.04014622241199258,0.1448625911407202,0.10247351152822039,0.0,0.0,0.6477996072221787
0.8 rmse,2050,0.6547994036211252,2.3218471496387036,0.13654023040575147,0.02496155869178467,0.02496155869178467,0.09462336124019191,0.10313747337004968,0.0,0.0,0.647919343866734
0.8 mae,2050,0.5109222074530078,1.8383770118718177,0.13472355451972423,0.023751728642172953,0.023751728642172953,0.09361963741104432,0.10267724882101496,0.0,0.0,0.6472511617845531
0.8 rmse,3025,0.5917833018403681,2.1360167028604704,0.1027384554122131,0.018735576447378624,0.018735576447378624,0.0733350057577211,0.10311793189448946,0.0,0.0,0.6480543683509327
0.8 mae,3025,0.46161248004552785,1.7044959299527096,0.1005203440121573,0.017286965022468577,0.017286965022468577,0.07215831575910714,0.10281339414034436,0.0,0.0,0.6475823054042604
0.8 rmse,4000,0.5731202850749252,2.0288213267329445,0.08597635142286421,0.015816283326940607,0.015816283326940607,0.061740850869268823,0.10300886849277995,0.0,0.0,0.6472367401063135
0.8 mae,4000,0.44669138242724465,1.6072900142894655,0.08329223944220968,0.014303833240435647,0.014303833240435647,0.06038017311183198,0.1027785174359794,0.0,0.0,0.6468933294415345
